# Example files (used in generateExamples):
# example_braille_file = RustTestData/Nemeth.brls
# example_mathml_file = RustTestData/Nemeth.mmls
#
# Input files:
# input_braille_file = test_data/Nemeth
# input_mathml_file = test_data/MathML
#
# Configuration variables:
# braille_code = Nemeth
# gen_braille = False
# model = gemini-2.5-pro
# apiKeyName = GEMINI_API_KEY
# batch_size = 50
# n_examples = 0
# chunk = slice(0, 2160)
#
# instructions = 
# You are an expert Braille translator specializing in Nemeth braille. The user will provide a python list of strings, where each string is composed of Unicode Nemeth Braille characters.  Here are two examples: '⠠⠑⠀⠨⠅⠀⠍⠉⠘⠆' and  '⠎⠊⠝⠀⠷⠨⠹⠾'. Your task is to translate each exact Braille sequence of characters into valid MathML code. For each braille input, output ONLY the raw MathML string starting with <math> and ending with </math>. Every element in the MathML must be properly closed and nested. Do not include markdown formatting, explanations, or any other text. Do not include any newlines or carriage returns. Add '|next-item|' between each MathML output. Below are some examples of braille/MathML pairs separated by '|' that should be considered the ground truth:
# 
#
# 150 items. Usage info: prompt=6770, candidates=9071, total=116684, time=54234ms, TPS=5978.833645684048.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✓ | ⠋⠷⠭⠾ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow></math>
✗ | ⠑⠘⠤⠆⠀⠈⠱⠈⠱⠀⠼⠴⠨⠂⠒⠢ | <math><mrow><msup><mi>e</mi><mrow data-mjx-texclass="ORD"><mo>−</mo><mn>2</mn></mrow></msup><mo>≈</mo><mn>0.135</mn></mrow></math> | <math><msup><mi>e</mi><mrow><mo>-</mo><mn>2</mn></mrow></msup><mo>&approx;</mo><mn>0.138</mn></math>
✗ | ⠽⠀⠨⠅⠀⠼⠴⠸⠆ | <math><mrow><mi>y</mi><mo>=</mo><mn>0</mn><mtext>;</mtext></mrow></math> | <math><mi>y</mi><mo>=</mo><mn>0</mn><mo>,</mo></math>
✓ | ⠈⠷⠴⠨⠂⠠⠀⠴⠨⠆⠈⠾ | <math><mrow><mo stretchy="false">[</mo><mn>0.1</mn><mo>,</mo><mn>0.2</mn><mo stretchy="false">]</mo></mrow></math> | <math><mrow><mo>[</mo><mrow><mn>0.1</mn><mo>,</mo><mn>0.2</mn></mrow><mo>]</mo></mrow></math>
✗ | ⠉⠕⠎⠀⠷⠞⠾⠀⠨⠅⠀⠤⠹⠜⠒⠻⠌⠆⠼ | <math><mrow><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mo>−</mo><mfrac><msqrt><mn>3</mn></msqrt><mn>2</mn></mfrac></mrow></math> | <math><mrow><mi>cos</mi><mo>(</mo><mi>t</mi><mo>)</mo></mrow><mo>=</mo><mo>-</mo><mfrac><msqrt><mn>2</mn></msqrt><mn>2</mn></mfrac></math>
✓ | ⠞⠁⠝⠀⠷⠞⠾⠀⠨⠅⠀⠹⠎⠊⠝⠀⠷⠞⠾⠌⠉⠕⠎⠀⠷⠞⠾⠼⠸⠲ | <math><mrow><mi>tan</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mi>sin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow><mrow><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow></mfrac><mtext>.</mtext></mrow></math> | <math><mrow><mi>tan</mi><mo>(</mo><mi>t</mi><mo>)</mo></mrow><mo>=</mo><mfrac><mrow><mi>sin</mi><mo>(</mo><mi>t</mi><mo>)</mo></mrow><mrow><mi>cos</mi><mo>(</mo><mi>t</mi><mo>)</mo></mrow></mfrac><mo>.</mo></math>
✗ | ⠐⠇⠊⠍⠩⠭⠀⠫⠕⠀⠼⠴⠘⠬⠐⠻⠀⠹⠂⠌⠭⠘⠆⠐⠼⠀⠨⠅⠀⠠⠿ | <math><mrow><munder><mo data-mjx-texclass="OP" movablelimits="true">lim</mo><mrow data-mjx-texclass="ORD"><mi>x</mi><mo accent="false" stretchy="false">→</mo><msup><mn>0</mn><mo>+</mo></msup></mrow></munder><mfrac><mn>1</mn><msup><mi>x</mi><mn>2</mn></msup></mfrac><mo>=</mo><mi mathvariant="normal">∞</mi></mrow></math> | <math><munder><mi>lim</mi><mrow><mi>x</mi><mo>&rarr;</mo><msup><mn>0</mn><mo>+</mo></msup></mrow></munder><mfrac><mn>1</mn><msup><mi>x</mi><mn>2</mn></msup></mfrac><mo>=</mo><mi>&infin;</mi></math>
✓ | ⠠⠏⠆⠷⠭⠾⠀⠨⠅⠀⠼⠂⠤⠹⠭⠘⠆⠐⠌⠆⠯⠼ | <math><mrow><msub><mi>P</mi><mn>2</mn></msub><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>1</mn><mo>−</mo><mfrac><msup><mi>x</mi><mn>2</mn></msup><mrow><mn>2</mn><mo>!</mo></mrow></mfrac></mrow></math> | <math><mrow><msub><mi>P</mi><mn>2</mn></msub><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><mrow><mn>1</mn><mo>-</mo><mfrac><msup><mi>x</mi><mn>2</mn></msup><mrow><mn>2</mn><mo>!</mo></mrow></mfrac></mrow></math>
✓ | ⠎⠊⠝⠀⠷⠭⠾⠀⠈⠱⠈⠱⠀⠭⠤⠹⠂⠌⠒⠯⠼⠭⠘⠒⠐⠬⠹⠂⠌⠢⠯⠼⠭⠘⠢⠐⠤⠹⠂⠌⠶⠯⠼⠭⠘⠶⠠ | <math><mrow><mi>sin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>≈</mo><mi>x</mi><mo>−</mo><mfrac><mn>1</mn><mrow><mn>3</mn><mo>!</mo></mrow></mfrac><msup><mi>x</mi><mn>3</mn></msup><mo>+</mo><mfrac><mn>1</mn><mrow><mn>5</mn><mo>!</mo></mrow></mfrac><msup><mi>x</mi><mn>5</mn></msup><mo>−</mo><mfrac><mn>1</mn><mrow><mn>7</mn><mo>!</mo></mrow></mfrac><msup><mi>x</mi><mn>7</mn></msup><mtext>,</mtext></mrow></math> | <math><mrow><mi>sin</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>&approx;</mo><mrow><mi>x</mi><mo>-</mo><mrow><mfrac><mn>1</mn><mrow><mn>3</mn><mo>!</mo></mrow></mfrac><msup><mi>x</mi><mn>3</mn></msup></mrow><mo>+</mo><mrow><mfrac><mn>1</mn><mrow><mn>5</mn><mo>!</mo></mrow></mfrac><msup><mi>x</mi><mn>5</mn></msup></mrow><mo>-</mo><mrow><mfrac><mn>1</mn><mrow><mn>7</mn><mo>!</mo></mrow></mfrac><msup><mi>x</mi><mn>7</mn></msup></mrow></mrow><mo>,</mo></math>
✗ | ⠭⠀⠫⠕⠀⠤⠠⠿⠸⠒ | <math><mrow><mi>x</mi><mo accent="false" stretchy="false">→</mo><mo>−</mo><mi mathvariant="normal">∞</mi><mtext>:</mtext></mrow></math> | <math><mi>x</mi><mo>&rarr;</mo><mo>-</mo><mi>&infin;</mi><mo>?</mo></math>
✗ | ⠐⠇⠊⠍⠩⠭⠀⠫⠕⠀⠤⠠⠿⠻⠀⠹⠂⠌⠭⠘⠝⠐⠼⠀⠨⠅⠀⠼⠴⠸⠲ | <math><mrow><munder><mo data-mjx-texclass="OP" movablelimits="true">lim</mo><mrow data-mjx-texclass="ORD"><mi>x</mi><mo accent="false" stretchy="false">→</mo><mo>−</mo><mi mathvariant="normal">∞</mi></mrow></munder><mfrac><mn>1</mn><msup><mi>x</mi><mi>n</mi></msup></mfrac><mo>=</mo><mn>0</mn><mtext>.</mtext></mrow></math> | <math><munder><mi>lim</mi><mrow><mi>x</mi><mo>&rarr;</mo><mo>-</mo><mi>&infin;</mi></mrow></munder><mfrac><mn>1</mn><msup><mi>x</mi><mi>n</mi></msup></mfrac><mo>=</mo><mn>0</mn><mo>.</mo></math>
✓ | ⠝⠀⠨⠅⠀⠍⠠ | <math><mrow><mi>n</mi><mo>=</mo><mi>m</mi><mtext>,</mtext></mrow></math> | <math><mi>n</mi><mo>=</mo><mi>m</mi><mo>,</mo></math>
✗ | ⠠⠁⠠⠧⠰⠈⠷⠆⠪⠆⠬⠓⠈⠾⠀⠨⠅⠀⠹⠤⠒⠆⠓⠤⠂⠖⠓⠘⠆⠐⠌⠓⠼⠸⠲ | <math><mrow><mi>A</mi><msub><mi>V</mi><mrow data-mjx-texclass="ORD"><mo stretchy="false">[</mo><mn>2</mn><mo>,</mo><mn>2</mn><mo>+</mo><mi>h</mi><mo stretchy="false">]</mo></mrow></msub><mo>=</mo><mfrac><mrow><mo>−</mo><mn>32</mn><mi>h</mi><mo>−</mo><mn>16</mn><msup><mi>h</mi><mn>2</mn></msup></mrow><mi>h</mi></mfrac><mtext>.</mtext></mrow></math> | <math><mrow><mi>A</mi><mi>V</mi><mo>[</mo><mrow><mrow><mn>2</mn><mo>&middot;</mo><mn>2</mn></mrow><mo>+</mo><mi>h</mi></mrow><mo>]</mo></mrow><mo>=</mo><mfrac><mrow><mrow><mo>-</mo><mn>26</mn><mi>h</mi></mrow><mo>-</mo><mrow><mn>16</mn><msup><mi>h</mi><mn>2</mn></msup></mrow></mrow><mi>h</mi></mfrac><mo>.</mo></math>
✗ | ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠭⠘⠒⠐⠬⠒⠌⠭⠘⠒⠐⠤⠦⠼ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><msup><mi>x</mi><mn>3</mn></msup><mo>+</mo><mn>3</mn></mrow><mrow><msup><mi>x</mi><mn>3</mn></msup><mo>−</mo><mn>8</mn></mrow></mfrac></mrow></math> | <math><mrow><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><mfrac><mrow><msup><mi>x</mi><mn>3</mn></msup><mo>+</mo><mn>3</mn></mrow><mrow><msup><mi>x</mi><mn>3</mn></msup><mo>-</mo><mn>7</mn></mrow></mfrac></math>
✓ | ⠙⠷⠹⠨⠏⠌⠆⠼⠾⠀⠨⠅⠀⠼⠆⠸⠲ | <math><mrow><mi>d</mi><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">(</mo><mfrac><mi>π</mi><mn>2</mn></mfrac><mo data-mjx-texclass="CLOSE">)</mo></mrow><mo>=</mo><mn>2</mn><mtext>.</mtext></mrow></math> | <math><mrow><mi>d</mi><mo>(</mo><mfrac><mi>&pi;</mi><mn>2</mn></mfrac><mo>)</mo></mrow><mo>=</mo><mn>2</mn><mo>.</mo></math>
✓ | ⠅⠀⠨⠅⠀⠹⠆⠨⠏⠌⠠⠏⠼⠸⠲ | <math><mrow><mi>k</mi><mo>=</mo><mfrac><mrow><mn>2</mn><mi>π</mi></mrow><mi>P</mi></mfrac><mtext>.</mtext></mrow></math> | <math><mi>k</mi><mo>=</mo><mfrac><mrow><mn>2</mn><mi>&pi;</mi></mrow><mi>P</mi></mfrac><mo>.</mo></math>
✗ | ⠥⠷⠭⠾⠀⠨⠅⠀⠤⠼⠴⠨⠆⠢⠎⠊⠝⠀⠷⠒⠭⠤⠖⠾⠬⠢ | <math><mrow><mi>u</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mo>−</mo><mn>0.25</mn><mi>sin</mi><mo data-mjx-texclass="NONE">⁡</mo><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">(</mo><mn>3</mn><mi>x</mi><mo>−</mo><mn>6</mn><mo data-mjx-texclass="CLOSE">)</mo></mrow><mo>+</mo><mn>5</mn></mrow></math> | <math><mrow><mi>u</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><mrow><mrow><mo>-</mo><mn>0.25</mn><mi>sin</mi><mo>(</mo><mrow><mn>3</mn><mi>x</mi><mo>-</mo><mn>6</mn></mrow><mo>)</mo></mrow><mo>+</mo><mn>8</mn></mrow></math>
✗ | ⠼⠆⠦ | <math><mn>28</mn></math> | <math><mn>27</mn></math>
✓ | ⠼⠂⠂⠂ | <math><mn>111</mn></math> | <math><mn>111</mn></math>
✓ | ⠼⠆⠘⠒⠴⠀⠨⠅⠀⠼⠂⠴⠶⠒⠶⠲⠂⠦⠆⠲ | <math><mrow><msup><mn>2</mn><mn>30</mn></msup><mo>=</mo><mn>1073741824</mn></mrow></math> | <math><msup><mn>2</mn><mn>30</mn></msup><mo>=</mo><mn>1073741824</mn></math>
✗ | ⠧⠷⠞⠾⠀⠨⠅⠀⠤⠼⠶⠢⠆⠆⠷⠂⠨⠴⠒⠦⠂⠶⠾⠘⠞⠐⠬⠖⠶⠒⠂ | <math><mrow><mi>v</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mo>−</mo><mn>7522</mn><mo stretchy="false">(</mo><mn>1.03817</mn><msup><mo stretchy="false">)</mo><mi>t</mi></msup><mo>+</mo><mn>6731</mn></mrow></math> | <math><mrow><mi>v</mi><mo>(</mo><mi>t</mi><mo>)</mo></mrow><mo>=</mo><mrow><mrow><mo>-</mo><mn>7522</mn><msup><mrow><mo>(</mo><mn>1.03718</mn><mo>)</mo></mrow><mi>t</mi></msup></mrow><mo>+</mo><mn>6831</mn></mrow></math>
✓ | ⠁⠃⠘⠞ | <math><mrow><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></mrow></math> | <math><mrow><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></mrow></math>
✗ | ⠉⠀⠐⠅⠀⠼⠴⠸⠆ | <math><mrow><mi>c</mi><mo>&lt;</mo><mn>0</mn><mtext>;</mtext></mrow></math> | <math><mi>c</mi><mo>&gt;</mo><mn>0</mn><mo>,</mo></math>
✗ | ⠠⠉⠷⠂⠴⠾⠀⠨⠅⠀⠼⠦⠴⠸⠲ | <math><mrow><mi>C</mi><mo stretchy="false">(</mo><mn>10</mn><mo stretchy="false">)</mo><mo>=</mo><mn>80</mn><mtext>.</mtext></mrow></math> | <math><mrow><mi>C</mi><mo>(</mo><mn>10</mn><mo>)</mo></mrow><mo>=</mo><mn>70</mn><mo>.</mo></math>
✓ | ⠓⠀⠨⠅⠀⠹⠆⠲⠌⠨⠏⠼⠀⠈⠱⠈⠱⠀⠼⠶⠨⠖⠲⠸⠲ | <math><mrow><mi>h</mi><mo>=</mo><mfrac><mn>24</mn><mi>π</mi></mfrac><mo>≈</mo><mn>7.64</mn><mtext>.</mtext></mrow></math> | <math><mi>h</mi><mo>=</mo><mfrac><mn>24</mn><mi>&pi;</mi></mfrac><mo>&approx;</mo><mn>7.64</mn><mo>.</mo></math>
✓ | ⠙⠀⠨⠅⠀⠼⠂⠢ | <math><mrow><mi>d</mi><mo>=</mo><mn>15</mn></mrow></math> | <math><mi>d</mi><mo>=</mo><mn>15</mn></math>
✗ | ⠼⠒⠨⠒⠦⠂ | <math><mn>3.381</mn></math> | <math><mn>3.371</mn></math>
✓ | ⠼⠂⠒⠨⠴⠴⠴ | <math><mn>13.000</mn></math> | <math><mn>13.000</mn></math>
✗ | ⠃⠀⠐⠅⠀⠼⠂ | <math><mrow><mi>b</mi><mo>&lt;</mo><mn>1</mn></mrow></math> | <math><mi>b</mi><mo>&gt;</mo><mn>1</mn></math>
✓ | ⠋⠷⠞⠾⠀⠨⠅⠀⠑⠘⠞ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><msup><mi>e</mi><mi>t</mi></msup></mrow></math> | <math><mrow><mi>f</mi><mo>(</mo><mi>t</mi><mo>)</mo></mrow><mo>=</mo><msup><mi>e</mi><mi>t</mi></msup></math>
✓ | ⠑⠀⠈⠱⠈⠱⠀⠼⠆⠨⠶⠂⠦⠆⠦⠂⠦⠸⠲ | <math><mrow><mi>e</mi><mo>≈</mo><mn>2.7182818</mn><mtext>.</mtext></mrow></math> | <math><mi>e</mi><mo>&approx;</mo><mn>2.7182818</mn><mo>.</mo></math>
✓ | ⠠⠇⠷⠭⠾⠀⠨⠅⠀⠃⠬⠍⠭⠠ | <math><mrow><mi>L</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mi>b</mi><mo>+</mo><mi>m</mi><mi>x</mi><mtext>,</mtext></mrow></math> | <math><mrow><mi>L</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><mrow><mi>b</mi><mo>+</mo><mrow><mi>m</mi><mi>x</mi></mrow></mrow><mo>,</mo></math>
✓ | ⠠⠟⠷⠭⠾⠀⠨⠅⠀⠁⠴⠬⠁⠂⠭⠬⠁⠆⠭⠘⠆ | <math><mrow><mi>Q</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><msub><mi>a</mi><mn>0</mn></msub><mo>+</mo><msub><mi>a</mi><mn>1</mn></msub><mi>x</mi><mo>+</mo><msub><mi>a</mi><mn>2</mn></msub><msup><mi>x</mi><mn>2</mn></msup></mrow></math> | <math><mrow><mi>Q</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><mrow><msub><mi>a</mi><mn>0</mn></msub><mo>+</mo><mrow><msub><mi>a</mi><mn>1</mn></msub><mi>x</mi></mrow><mo>+</mo><mrow><msub><mi>a</mi><mn>2</mn></msub><msup><mi>x</mi><mn>2</mn></msup></mrow></mrow></math>
✗ | ⠁⠴⠠⠀⠄⠄⠄⠠⠀⠁⠲ | <math><mrow><msub><mi>a</mi><mn>0</mn></msub><mo>,</mo><mo>…</mo><mo>,</mo><msub><mi>a</mi><mn>4</mn></msub></mrow></math> | <math><msub><mi>a</mi><mn>0</mn></msub><mo>,</mo><mo>...</mo><mo>,</mo><msub><mi>a</mi><mn>4</mn></msub></math>
✓ | ⠭⠀⠨⠅⠀⠤⠼⠶⠠ | <math><mrow><mi>x</mi><mo>=</mo><mo>−</mo><mn>7</mn><mtext>,</mtext></mrow></math> | <math><mi>x</mi><mo>=</mo><mo>-</mo><mn>7</mn><mo>,</mo></math>
✗ | ⠭⠀⠐⠅⠀⠼⠂⠠ | <math><mrow><mi>x</mi><mo>&lt;</mo><mn>1</mn><mtext>,</mtext></mrow></math> | <math><mi>x</mi><mo>&gt;</mo><mn>1</mn><mo>,</mo></math>
✗ | ⠼⠂⠀⠐⠅⠀⠁⠀⠐⠅⠀⠃⠠ | <math><mrow><mn>1</mn><mo>&lt;</mo><mi>a</mi><mo>&lt;</mo><mi>b</mi><mtext>,</mtext></mrow></math> | <math><mn>1</mn><mo>&gt;</mo><mi>a</mi><mo>&gt;</mo><mi>b</mi><mo>,</mo></math>
✗ | ⠷⠭⠘⠆⠐⠬⠂⠴⠴⠴⠴⠾⠀⠿ | <math><mrow><mo stretchy="false">(</mo><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>10000</mn><mo stretchy="false">)</mo><mtext>?</mtext></mrow></math> | <math><mrow><mo>(</mo><mrow><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>10000</mn></mrow><mo>,</mo><mi>&infin;</mi></mrow><mo>)</mo></mrow></math>
✓ | ⠋⠷⠭⠾⠀⠨⠅⠀⠷⠢⠤⠖⠭⠾⠷⠆⠭⠤⠲⠾⠘⠆⠸⠲ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">(</mo><mn>5</mn><mo>−</mo><mn>6</mn><mi>x</mi><mo data-mjx-texclass="CLOSE">)</mo></mrow><mspace width="-0.167em"></mspace><msup><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">(</mo><mn>2</mn><mi>x</mi><mo>−</mo><mn>4</mn><mo data-mjx-texclass="CLOSE">)</mo></mrow><mn>2</mn></msup><mtext>.</mtext></mrow></math> | <math><mrow><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><mrow><mrow><mo>(</mo><mrow><mn>5</mn><mo>-</mo><mrow><mn>6</mn><mi>x</mi></mrow></mrow><mo>)</mo></mrow><msup><mrow><mo>(</mo><mrow><mrow><mn>2</mn><mi>x</mi></mrow><mo>-</mo><mn>4</mn></mrow><mo>)</mo></mrow><mn>2</mn></msup></mrow><mo>.</mo></math>
✓ | ⠼⠴⠨⠆⠢⠠ | <math><mrow><mn>0.25</mn><mtext>,</mtext></mrow></math> | <math><mn>0.25</mn><mo>,</mo></math>
✗ | ⠟⠷⠭⠾⠀⠨⠅⠀⠼⠴⠨⠆⠢⠷⠭⠤⠆⠾⠘⠆⠐⠬⠆⠨⠢⠸⠲ | <math><mrow><mi>q</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>0.25</mn><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mn>2</mn><msup><mo stretchy="false">)</mo><mn>2</mn></msup><mo>+</mo><mn>2.5</mn><mtext>.</mtext></mrow></math> | <math><mi>q</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><mn>4</mn><mo>)</mo><mo>)</mo><msup><mrow><mo>(</mo><mi>x</mi><mo>-</mo><mn>2</mn><mo>)</mo></mrow><mn>2</mn></msup><mo>+</mo><mn>2</mn><mo>}</mo><mo>.</mo></math>
✓ | ⠓⠷⠞⠾⠀⠨⠅⠀⠤⠼⠂⠖⠞⠘⠆⠐⠬⠧⠴⠞⠬⠎⠴ | <math><mrow><mi>h</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mo>−</mo><mn>16</mn><msup><mi>t</mi><mn>2</mn></msup><mo>+</mo><msub><mi>v</mi><mn>0</mn></msub><mi>t</mi><mo>+</mo><msub><mi>s</mi><mn>0</mn></msub></mrow></math> | <math><mi>h</mi><mrow><mo>(</mo><mi>t</mi><mo>)</mo></mrow><mo>=</mo><mo>-</mo><mn>16</mn><msup><mi>t</mi><mn>2</mn></msup><mo>+</mo><msub><mi>v</mi><mn>0</mn></msub><mi>t</mi><mo>+</mo><msub><mi>s</mi><mn>0</mn></msub></math>
✗ | ⠠⠁⠠⠧⠰⠈⠷⠒⠪⠲⠈⠾⠀⠨⠅⠀⠤⠼⠂⠢ | <math><mrow><mi>A</mi><msub><mi>V</mi><mrow data-mjx-texclass="ORD"><mo stretchy="false">[</mo><mn>3</mn><mo>,</mo><mn>4</mn><mo stretchy="false">]</mo></mrow></msub><mo>=</mo><mo>−</mo><mn>15</mn></mrow></math> | <math><mi>A</mi><msub><mi>V</mi><mrow><mo>[</mo><mi>c</mi><mo>,</mo><mi>d</mi><mo>]</mo></mrow></msub><mo>=</mo><mo>-</mo><mn>15</mn></math>
✗ | ⠗⠷⠴⠾⠀⠨⠅⠀⠼⠂⠢ | <math><mrow><mi>r</mi><mo stretchy="false">(</mo><mn>0</mn><mo stretchy="false">)</mo><mo>=</mo><mn>15</mn></mrow></math> | <math><mi>r</mi><mrow><mo>(</mo><mn>4</mn><mo>)</mo></mrow><mo>=</mo><mn>15</mn></math>
✓ | ⠭⠀⠨⠅⠀⠤⠼⠂⠸⠲ | <math><mrow><mi>x</mi><mo>=</mo><mo>−</mo><mn>1</mn><mtext>.</mtext></mrow></math> | <math><mi>x</mi><mo>=</mo><mo>-</mo><mn>1</mn><mo>.</mo></math>
✗ | ⠏⠷⠁⠾⠀⠨⠅⠀⠼⠴ | <math><mrow><mi>p</mi><mo stretchy="false">(</mo><mi>a</mi><mo stretchy="false">)</mo><mo>=</mo><mn>0</mn></mrow></math> | <math><mi>p</mi><mrow><mo>(</mo><mi>a</mi><mo>)</mo></mrow><mo>=</mo><mn>4</mn></math>
✓ | ⠭⠀⠨⠅⠀⠼⠒⠸⠲ | <math><mrow><mi>x</mi><mo>=</mo><mn>3</mn><mtext>.</mtext></mrow></math> | <math><mi>x</mi><mo>=</mo><mn>3</mn><mo>.</mo></math>
✗ | ⠺⠷⠭⠾⠀⠨⠂⠀⠼⠴ | <math><mrow><mi>w</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>&gt;</mo><mn>0</mn></mrow></math> | <math><mi>w</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>&gt;</mo><mn>4</mn></math>
✗ | ⠗⠷⠭⠾⠀⠨⠅⠀⠹⠤⠂⠔⠷⠭⠬⠂⠂⠨⠒⠾⠘⠆⠐⠷⠭⠤⠂⠢⠨⠂⠾⠷⠭⠤⠂⠶⠨⠒⠾⠌⠲⠂⠷⠭⠬⠢⠨⠶⠾⠷⠭⠬⠂⠂⠨⠒⠾⠷⠭⠤⠦⠨⠲⠾⠷⠭⠤⠂⠢⠨⠂⠾⠼ | <math><mrow><mi>r</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mo>−</mo><mn>19</mn><mo stretchy="false">(</mo><mi>x</mi><mo>+</mo><mn>11.3</mn><msup><mo stretchy="false">)</mo><mn>2</mn></msup><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mn>15.1</mn><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mn>17.3</mn><mo stretchy="false">)</mo></mrow><mrow><mn>41</mn><mo stretchy="false">(</mo><mi>x</mi><mo>+</mo><mn>5.7</mn><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo>+</mo><mn>11.3</mn><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mn>8.4</mn><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mn>15.1</mn><mo stretchy="false">)</mo></mrow></mfrac></mrow></math> | <math><mi>r</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><mfrac><mrow><mo>-</mo><mn>18</mn><msup><mrow><mo>(</mo><mi>x</mi><mo>+</mo><mn>11</mn><mo>]</mo><mo>)</mo></mrow><mn>2</mn></msup><mrow><mo>(</mo><mi>x</mi><mo>-</mo><mn>15</mn><mo>&gt;</mo><mo>)</mo></mrow><mrow><mo>(</mo><mi>x</mi><mo>-</mo><mn>16</mn><mo>]</mo><mo>)</mo></mrow></mrow><mrow><mn>21</mn><mrow><mo>(</mo><mi>x</mi><mo>+</mo><mn>5</mn><mo>|</mo><mo>)</mo></mrow><mrow><mo>(</mo><mi>x</mi><mo>+</mo><mn>11</mn><mo>]</mo><mo>)</mo></mrow><mrow><mo>(</mo><mi>x</mi><mo>-</mo><mn>6</mn><mo>[</mo><mo>)</mo></mrow><mrow><mo>(</mo><mi>x</mi><mo>-</mo><mn>15</mn><mo>&gt;</mo><mo>)</mo></mrow></mrow></mfrac></math>
