# Example files (used in generateExamples):
# example_braille_file = RustTestData/UEB.brls
# example_mathml_file = RustTestData/UEB.mmls
#
# Input files:
# input_braille_file = test_data/UEB
# input_mathml_file = test_data/MathML
#
# Configuration variables:
# braille_code = UEB
# gen_braille = True
# model = gemini-2.5-pro
# apiKeyName = GEMINI_API_KEY
# batch_size = 50
# n_examples = 0
# chunk = slice(0, 2160)
#
# instructions = 
# You are an expert Braille translator specializing in UEB braille. The user will provide a python list of strings, where each string is composed of represents math encoded in MathML (e.g., <math><mi>f</mi><mrow><mo>(</mo><mfrac><mn>1</mn><mn>2</mn></mfrac><mo>)</mo></mrow></math>). Your task is to translate each MathML expression into valid UEB braille using only Unicode braille characters. For each MathML input, output ONLY the raw Unicode braille characters. (e.g., '⠋⠷⠹⠂⠌⠆⠼⠾')It is important to pay attention to generating Unicode braille spaces when needed in the braille. It is also important to pay attention when to generate grade 1 indicators ⠰, grade 1 word indicators ⠰⠰, and grade 1 passage indicators ⠰⠰⠰ when appropriate. These are very common at the start of the translation.Do not include markdown formatting, explanations, or any other text.Add '|next-item|' between each braille output. Below are some examples of braille/MathML pairs separated by '|' that should be considered the ground truth:
# 
#
# 300 items. Usage info: prompt=25358, candidates=15377, total=158959, time=86263ms, TPS=5609.871886583859.2f
#
# Match | Test Input | Expected | Computed
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></math> | ⠋⠐⠣⠭⠐⠜ | ⠰⠋⠷⠰⠭⠾
✗ | <math><mrow><msub><mi>P</mi><mn>2</mn></msub><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>1</mn><mo>−</mo><mfrac><msup><mi>x</mi><mn>2</mn></msup><mrow><mn>2</mn><mo>!</mo></mrow></mfrac></mrow></math> | ⠠⠏⠰⠢⠼⠃⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠁⠐⠤⠷⠭⠔⠼⠃⠨⠌⠼⠃⠖⠾ | ⠠⠏⠰⠼⠃⠷⠭⠾ ⠨⠅ ⠼⠁⠤⠹⠭⠘⠼⠃⠌⠼⠃⠖⠼
✗ | <math><mrow><mi>sin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>≈</mo><mi>x</mi><mo>−</mo><mfrac><mn>1</mn><mrow><mn>3</mn><mo>!</mo></mrow></mfrac><msup><mi>x</mi><mn>3</mn></msup><mo>+</mo><mfrac><mn>1</mn><mrow><mn>5</mn><mo>!</mo></mrow></mfrac><msup><mi>x</mi><mn>5</mn></msup><mo>−</mo><mfrac><mn>1</mn><mrow><mn>7</mn><mo>!</mo></mrow></mfrac><msup><mi>x</mi><mn>7</mn></msup><mtext>,</mtext></mrow></math> | ⠎⠔⠐⠣⠭⠐⠜⠀⠘⠔⠀⠭⠐⠤⠰⠷⠼⠁⠨⠌⠼⠉⠖⠾⠭⠔⠼⠉⠐⠖⠷⠼⠁⠨⠌⠼⠑⠖⠾⠭⠔⠼⠑⠐⠤⠷⠼⠁⠨⠌⠼⠛⠖⠾⠭⠔⠼⠛⠂⠀ | ⠎⠊⠝⠷⠭⠾ ⠨⠎ ⠭⠤⠹⠼⠁⠌⠼⠉⠖⠼⠭⠘⠼⠉⠬⠹⠼⠁⠌⠼⠑⠖⠼⠭⠘⠼⠑⠤⠹⠼⠁⠌⠼⠛⠖⠼⠭⠘⠼⠛⠂
✗ | <math><mrow><mi>x</mi><mo accent="false" stretchy="false">→</mo><mo>−</mo><mi mathvariant="normal">∞</mi><mtext>:</mtext></mrow></math> | ⠰⠰⠰⠭⠀⠳⠕⠀⠐⠤⠼⠿⠒⠰⠄ | ⠭ ⠳ ⠤⠼⠿⠒
✗ | <math><mrow><munder><mo data-mjx-texclass="OP" movablelimits="true">lim</mo><mrow data-mjx-texclass="ORD"><mi>x</mi><mo accent="false" stretchy="false">→</mo><mo>−</mo><mi mathvariant="normal">∞</mi></mrow></munder><mfrac><mn>1</mn><msup><mi>x</mi><mi>n</mi></msup></mfrac><mo>=</mo><mn>0</mn><mtext>.</mtext></mrow></math> | ⠰⠰⠇⠊⠍⠨⠢⠣⠭⠳⠕⠐⠤⠼⠿⠜⠷⠼⠁⠨⠌⠭⠔⠝⠾⠀⠐⠶⠀⠼⠚⠲ | ⠇⠊⠍⠰⠣⠭⠳⠤⠼⠿⠜ ⠹⠼⠁⠌⠭⠘⠝⠼ ⠨⠅ ⠼⠚⠲
✗ | <math><mrow><mi>n</mi><mo>=</mo><mi>m</mi><mtext>,</mtext></mrow></math> | ⠰⠝⠀⠐⠶⠀⠰⠍⠂⠀ | ⠝ ⠨⠅ ⠍⠂
✗ | <math><mrow><mi>A</mi><msub><mi>V</mi><mrow data-mjx-texclass="ORD"><mo stretchy="false">[</mo><mn>2</mn><mo>,</mo><mn>2</mn><mo>+</mo><mi>h</mi><mo stretchy="false">]</mo></mrow></msub><mo>=</mo><mfrac><mrow><mo>−</mo><mn>32</mn><mi>h</mi><mo>−</mo><mn>16</mn><msup><mi>h</mi><mn>2</mn></msup></mrow><mi>h</mi></mfrac><mtext>.</mtext></mrow></math> | ⠰⠰⠰⠠⠠⠁⠧⠢⠨⠣⠼⠃⠂⠀⠼⠃⠐⠖⠓⠨⠜⠀⠐⠶⠀⠷⠐⠤⠼⠉⠃⠰⠓⠐⠤⠼⠁⠋⠰⠓⠔⠼⠃⠨⠌⠓⠾⠲⠰⠄ | ⠠⠁⠠⠧⠰⠣⠨⠷⠼⠃⠂⠼⠃⠬⠓⠨⠾⠜ ⠨⠅ ⠹⠤⠼⠉⠃⠓⠤⠼⠁⠋⠓⠘⠼⠃⠌⠓⠼⠲
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><msup><mi>x</mi><mn>3</mn></msup><mo>+</mo><mn>3</mn></mrow><mrow><msup><mi>x</mi><mn>3</mn></msup><mo>−</mo><mn>8</mn></mrow></mfrac></mrow></math> | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠰⠰⠷⠭⠔⠼⠉⠐⠖⠼⠉⠨⠌⠭⠔⠼⠉⠐⠤⠼⠓⠾ | ⠋⠷⠭⠾ ⠨⠅ ⠹⠭⠘⠼⠉⠬⠼⠉⠌⠭⠘⠼⠉⠤⠼⠓⠼
✗ | <math><mrow><mi>d</mi><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">(</mo><mfrac><mi>π</mi><mn>2</mn></mfrac><mo data-mjx-texclass="CLOSE">)</mo></mrow><mo>=</mo><mn>2</mn><mtext>.</mtext></mrow></math> | ⠰⠰⠙⠐⠣⠷⠨⠏⠨⠌⠼⠃⠾⠐⠜⠀⠐⠶⠀⠼⠃⠲ | ⠙⠷⠹⠨⠏⠌⠼⠃⠼⠾ ⠨⠅ ⠼⠃⠲
✗ | <math><mrow><mi>k</mi><mo>=</mo><mfrac><mrow><mn>2</mn><mi>π</mi></mrow><mi>P</mi></mfrac><mtext>.</mtext></mrow></math> | ⠰⠰⠰⠅⠀⠐⠶⠀⠷⠼⠃⠨⠏⠨⠌⠠⠏⠾⠲⠰⠄ | ⠅ ⠨⠅ ⠹⠼⠃⠨⠏⠌⠠⠏⠼⠲
✗ | <math><mrow><mi>u</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mo>−</mo><mn>0.25</mn><mi>sin</mi><mo data-mjx-texclass="NONE">⁡</mo><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">(</mo><mn>3</mn><mi>x</mi><mo>−</mo><mn>6</mn><mo data-mjx-texclass="CLOSE">)</mo></mrow><mo>+</mo><mn>5</mn></mrow></math> | ⠥⠐⠣⠭⠐⠜⠀⠐⠶⠀⠐⠤⠼⠚⠲⠃⠑⠎⠊⠝⠐⠣⠼⠉⠭⠐⠤⠼⠋⠐⠜⠐⠖⠼⠑ | ⠥⠷⠭⠾ ⠨⠅ ⠤⠼⠚⠲⠃⠑⠎⠊⠝⠷⠼⠉⠭⠤⠼⠋⠾⠬⠼⠑
✓ | <math><mn>28</mn></math> | ⠼⠃⠓ | ⠼⠃⠓
✓ | <math><mn>111</mn></math> | ⠼⠁⠁⠁ | ⠼⠁⠁⠁
✗ | <math><mrow><msup><mn>2</mn><mn>30</mn></msup><mo>=</mo><mn>1073741824</mn></mrow></math> | ⠼⠃⠔⠼⠉⠚⠀⠐⠶⠀⠼⠁⠚⠛⠉⠛⠙⠁⠓⠃⠙ | ⠼⠃⠘⠼⠉⠚ ⠨⠅ ⠼⠁⠚⠛⠉⠛⠙⠁⠓⠃⠙
✗ | <math><mrow><mi>v</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mo>−</mo><mn>7522</mn><mo stretchy="false">(</mo><mn>1.03817</mn><msup><mo stretchy="false">)</mo><mi>t</mi></msup><mo>+</mo><mn>6731</mn></mrow></math> | ⠧⠐⠣⠞⠐⠜⠀⠐⠶⠀⠐⠤⠼⠛⠑⠃⠃⠐⠣⠼⠁⠲⠚⠉⠓⠁⠛⠐⠜⠔⠞⠐⠖⠼⠋⠛⠉⠁ | ⠧⠷⠞⠾ ⠨⠅ ⠤⠼⠛⠑⠃⠃⠷⠼⠁⠲⠚⠉⠓⠁⠛⠾⠘⠞⠬⠼⠋⠛⠉⠁
✗ | <math><mrow><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></mrow></math> | ⠁⠃⠰⠔⠞ | ⠰⠁⠃⠘⠞
✗ | <math><mrow><mi>c</mi><mo>&lt;</mo><mn>0</mn><mtext>;</mtext></mrow></math> | ⠰⠉⠀⠈⠣⠀⠼⠚⠆ | ⠉ ⠐⠅ ⠼⠚⠆
✗ | <math><mrow><mi>C</mi><mo stretchy="false">(</mo><mn>10</mn><mo stretchy="false">)</mo><mo>=</mo><mn>80</mn><mtext>.</mtext></mrow></math> | ⠠⠉⠐⠣⠼⠁⠚⠐⠜⠀⠐⠶⠀⠼⠓⠚⠲ | ⠠⠉⠷⠼⠁⠚⠾ ⠨⠅ ⠼⠓⠚⠲
✗ | <math><mrow><mi>h</mi><mo>=</mo><mfrac><mn>24</mn><mi>π</mi></mfrac><mo>≈</mo><mn>7.64</mn><mtext>.</mtext></mrow></math> | ⠰⠰⠰⠓⠀⠐⠶⠀⠷⠼⠃⠙⠨⠌⠨⠏⠾⠀⠘⠔⠀⠼⠛⠲⠋⠙⠲⠰⠄ | ⠓ ⠨⠅ ⠹⠼⠃⠙⠌⠨⠏⠼ ⠨⠎ ⠼⠛⠲⠋⠙⠲
✗ | <math><mrow><mi>d</mi><mo>=</mo><mn>15</mn></mrow></math> | ⠰⠙⠀⠐⠶⠀⠼⠁⠑ | ⠙ ⠨⠅ ⠼⠁⠑
✓ | <math><mn>3.381</mn></math> | ⠼⠉⠲⠉⠓⠁ | ⠼⠉⠲⠉⠓⠁
✓ | <math><mn>13.000</mn></math> | ⠼⠁⠉⠲⠚⠚⠚ | ⠼⠁⠉⠲⠚⠚⠚
✗ | <math><mrow><mi>b</mi><mo>&lt;</mo><mn>1</mn></mrow></math> | ⠰⠃⠀⠈⠣⠀⠼⠁ | ⠃ ⠐⠅ ⠼⠁
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><msup><mi>e</mi><mi>t</mi></msup></mrow></math> | ⠋⠐⠣⠞⠐⠜⠀⠐⠶⠀⠑⠰⠔⠞ | ⠋⠷⠞⠾ ⠨⠅ ⠰⠑⠘⠞
✗ | <math><mrow><mi>e</mi><mo>≈</mo><mn>2.7182818</mn><mtext>.</mtext></mrow></math> | ⠰⠑⠀⠘⠔⠀⠼⠃⠲⠛⠁⠓⠃⠓⠁⠓⠲ | ⠰⠑ ⠨⠎ ⠼⠃⠲⠛⠁⠓⠃⠓⠁⠓⠲
✗ | <math><mrow><mi>L</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mi>b</mi><mo>+</mo><mi>m</mi><mi>x</mi><mtext>,</mtext></mrow></math> | ⠠⠇⠐⠣⠭⠐⠜⠀⠐⠶⠀⠃⠐⠖⠍⠭⠂⠀ | ⠠⠇⠷⠭⠾ ⠨⠅ ⠃⠬⠍⠭⠂
✗ | <math><mrow><mi>Q</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><msub><mi>a</mi><mn>0</mn></msub><mo>+</mo><msub><mi>a</mi><mn>1</mn></msub><mi>x</mi><mo>+</mo><msub><mi>a</mi><mn>2</mn></msub><msup><mi>x</mi><mn>2</mn></msup></mrow></math> | ⠠⠟⠐⠣⠭⠐⠜⠀⠐⠶⠀⠁⠰⠢⠼⠚⠐⠖⠁⠢⠼⠁⠭⠐⠖⠁⠢⠼⠃⠭⠔⠼⠃ | ⠠⠟⠷⠭⠾ ⠨⠅ ⠁⠰⠼⠚⠬⠁⠰⠼⠁⠭⠬⠁⠰⠼⠃⠭⠘⠼⠃
✗ | <math><mrow><msub><mi>a</mi><mn>0</mn></msub><mo>,</mo><mo>…</mo><mo>,</mo><msub><mi>a</mi><mn>4</mn></msub></mrow></math> | ⠰⠰⠰⠁⠢⠼⠚⠂⠀⠲⠲⠲⠂⠀⠁⠢⠼⠙⠰⠄ | ⠁⠰⠼⠚⠂⠲⠲⠲⠂⠁⠰⠼⠙
✗ | <math><mrow><mi>x</mi><mo>=</mo><mo>−</mo><mn>7</mn><mtext>,</mtext></mrow></math> | ⠰⠭⠀⠐⠶⠀⠐⠤⠼⠛⠂⠀ | ⠭ ⠨⠅ ⠤⠼⠛⠂
✗ | <math><mrow><mi>x</mi><mo>&lt;</mo><mn>1</mn><mtext>,</mtext></mrow></math> | ⠰⠭⠀⠈⠣⠀⠼⠁⠂⠀ | ⠭ ⠐⠅ ⠼⠁⠂
✗ | <math><mrow><mn>1</mn><mo>&lt;</mo><mi>a</mi><mo>&lt;</mo><mi>b</mi><mtext>,</mtext></mrow></math> | ⠼⠁⠀⠈⠣⠀⠁⠀⠈⠣⠀⠰⠃⠂⠀ | ⠼⠁ ⠐⠅ ⠁ ⠐⠅ ⠃⠂
✗ | <math><mrow><mo stretchy="false">(</mo><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>10000</mn><mo stretchy="false">)</mo><mtext>?</mtext></mrow></math> | ⠰⠰⠐⠣⠭⠔⠼⠃⠐⠖⠼⠁⠚⠚⠚⠚⠐⠜⠦ | ⠷⠭⠘⠼⠃⠬⠼⠁⠚⠚⠚⠚⠾⠦
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">(</mo><mn>5</mn><mo>−</mo><mn>6</mn><mi>x</mi><mo data-mjx-texclass="CLOSE">)</mo></mrow><mspace width="-0.167em"></mspace><msup><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">(</mo><mn>2</mn><mi>x</mi><mo>−</mo><mn>4</mn><mo data-mjx-texclass="CLOSE">)</mo></mrow><mn>2</mn></msup><mtext>.</mtext></mrow></math> | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠐⠣⠼⠑⠐⠤⠼⠋⠭⠐⠜⠐⠣⠼⠃⠭⠐⠤⠼⠙⠐⠜⠔⠼⠃⠲ | ⠋⠷⠭⠾ ⠨⠅ ⠷⠼⠑⠤⠼⠋⠭⠾⠷⠼⠃⠭⠤⠼⠙⠾⠘⠼⠃⠲
✗ | <math><mrow><mn>0.25</mn><mtext>,</mtext></mrow></math> | ⠼⠚⠲⠃⠑⠂⠀ | ⠼⠚⠲⠃⠑⠂|
✗ | <math><mrow><mi>q</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>0.25</mn><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mn>2</mn><msup><mo stretchy="false">)</mo><mn>2</mn></msup><mo>+</mo><mn>2.5</mn><mtext>.</mtext></mrow></math> | ⠟⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠚⠲⠃⠑⠐⠣⠭⠐⠤⠼⠃⠐⠜⠔⠼⠃⠐⠖⠼⠃⠲⠑⠲ | ⠰⠟⠷⠰⠭⠾⠀⠨⠅⠀⠼⠚⠲⠆⠢⠷⠰⠭⠤⠆⠾⠘⠆⠀⠬⠀⠼⠆⠲⠢⠲
✗ | <math><mrow><mi>h</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mo>−</mo><mn>16</mn><msup><mi>t</mi><mn>2</mn></msup><mo>+</mo><msub><mi>v</mi><mn>0</mn></msub><mi>t</mi><mo>+</mo><msub><mi>s</mi><mn>0</mn></msub></mrow></math> | ⠓⠐⠣⠞⠐⠜⠀⠐⠶⠀⠐⠤⠼⠁⠋⠞⠔⠼⠃⠐⠖⠧⠢⠼⠚⠞⠐⠖⠎⠢⠼⠚ | ⠰⠓⠷⠰⠞⠾⠀⠨⠅⠀⠤⠼⠂⠖⠰⠞⠘⠆⠀⠬⠀⠰⠧⠰⠚⠐⠰⠞⠀⠬⠀⠰⠎⠰⠚
✗ | <math><mrow><mi>A</mi><msub><mi>V</mi><mrow data-mjx-texclass="ORD"><mo stretchy="false">[</mo><mn>3</mn><mo>,</mo><mn>4</mn><mo stretchy="false">]</mo></mrow></msub><mo>=</mo><mo>−</mo><mn>15</mn></mrow></math> | ⠠⠠⠁⠧⠰⠢⠨⠣⠼⠉⠂⠀⠼⠙⠨⠜⠀⠐⠶⠀⠐⠤⠼⠁⠑ | ⠠⠁⠠⠧⠰⠣⠷⠼⠒⠠⠀⠼⠲⠾⠜⠀⠨⠅⠀⠤⠼⠂⠢
✗ | <math><mrow><mi>r</mi><mo stretchy="false">(</mo><mn>0</mn><mo stretchy="false">)</mo><mo>=</mo><mn>15</mn></mrow></math> | ⠗⠐⠣⠼⠚⠐⠜⠀⠐⠶⠀⠼⠁⠑ | ⠰⠗⠷⠼⠚⠾⠀⠨⠅⠀⠼⠂⠢
✗ | <math><mrow><mi>x</mi><mo>=</mo><mo>−</mo><mn>1</mn><mtext>.</mtext></mrow></math> | ⠰⠭⠀⠐⠶⠀⠐⠤⠼⠁⠲ | ⠰⠭⠀⠨⠅⠀⠤⠼⠂⠲
✗ | <math><mrow><mi>p</mi><mo stretchy="false">(</mo><mi>a</mi><mo stretchy="false">)</mo><mo>=</mo><mn>0</mn></mrow></math> | ⠏⠐⠣⠁⠐⠜⠀⠐⠶⠀⠼⠚ | ⠰⠏⠷⠰⠁⠾⠀⠨⠅⠀⠼⠚
✗ | <math><mrow><mi>x</mi><mo>=</mo><mn>3</mn><mtext>.</mtext></mrow></math> | ⠰⠭⠀⠐⠶⠀⠼⠉⠲ | ⠰⠭⠀⠨⠅⠀⠼⠒⠲
✗ | <math><mrow><mi>w</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>&gt;</mo><mn>0</mn></mrow></math> | ⠺⠐⠣⠭⠐⠜⠀⠈⠜⠀⠼⠚ | ⠰⠺⠷⠰⠭⠾⠀⠨⠂⠀⠼⠚
✗ | <math><mrow><mi>r</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mo>−</mo><mn>19</mn><mo stretchy="false">(</mo><mi>x</mi><mo>+</mo><mn>11.3</mn><msup><mo stretchy="false">)</mo><mn>2</mn></msup><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mn>15.1</mn><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mn>17.3</mn><mo stretchy="false">)</mo></mrow><mrow><mn>41</mn><mo stretchy="false">(</mo><mi>x</mi><mo>+</mo><mn>5.7</mn><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo>+</mo><mn>11.3</mn><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mn>8.4</mn><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mn>15.1</mn><mo stretchy="false">)</mo></mrow></mfrac></mrow></math> | ⠗⠐⠣⠭⠐⠜⠀⠐⠶⠀⠰⠷⠐⠤⠼⠁⠊⠐⠣⠭⠐⠖⠼⠁⠁⠲⠉⠐⠜⠔⠼⠃⠐⠣⠭⠐⠤⠼⠁⠑⠲⠁⠐⠜⠐⠣⠭⠐⠤⠼⠁⠛⠲⠉⠐⠜⠨⠌⠼⠙⠁⠐⠣⠭⠐⠖⠼⠑⠲⠛⠐⠜⠐⠣⠭⠐⠖⠼⠁⠁⠲⠉⠐⠜⠐⠣⠭⠐⠤⠼⠓⠲⠙⠐⠜⠐⠣⠭⠐⠤⠼⠁⠑⠲⠁⠐⠜⠾ | ⠰⠗⠷⠰⠭⠾⠀⠨⠅⠀⠹⠤⠼⠂⠔⠷⠰⠭⠬⠼⠂⠂⠲⠒⠾⠘⠆⠷⠰⠭⠤⠼⠂⠢⠲⠂⠾⠷⠰⠭⠤⠼⠂⠶⠲⠒⠾⠌⠼⠲⠂⠷⠰⠭⠬⠼⠢⠲⠶⠾⠷⠰⠭⠬⠼⠂⠂⠲⠒⠾⠷⠰⠭⠤⠼⠦⠲⠲⠾⠷⠰⠭⠤⠼⠂⠢⠲⠂⠾⠼
✗ | <math><mfrac><mrow><mi>f</mi><mo stretchy="false">(</mo><mn>6</mn><mo stretchy="false">)</mo><mo>−</mo><mi>f</mi><mo stretchy="false">(</mo><mn>0</mn><mo stretchy="false">)</mo></mrow><mrow><mn>6</mn><mo>−</mo><mn>0</mn></mrow></mfrac></math> | ⠰⠷⠋⠐⠣⠼⠋⠐⠜⠐⠤⠋⠐⠣⠼⠚⠐⠜⠨⠌⠼⠋⠐⠤⠼⠚⠾ | ⠹⠰⠋⠷⠼⠖⠾⠤⠰⠋⠷⠼⠚⠾⠌⠼⠖⠤⠚⠼
✗ | <math><mrow><mn>25</mn><mo>≤</mo><mi>d</mi><mo>≤</mo><mn>125</mn></mrow></math> | ⠼⠃⠑⠀⠸⠈⠣⠀⠰⠙⠀⠸⠈⠣⠀⠼⠁⠃⠑ | ⠼⠆⠢⠀⠨⠣⠀⠰⠙⠀⠨⠣⠀⠼⠂⠆⠢
✗ | <math><mn>64.19</mn></math> | ⠼⠋⠙⠲⠁⠊ | ⠼⠖⠲⠲⠂⠔
✗ | <math><mrow><mfrac><mn>18</mn><mn>11</mn></mfrac><mtext>.</mtext></mrow></math> | ⠼⠁⠓⠌⠁⠁⠲ | ⠹⠼⠂⠦⠌⠼⠂⠂⠼⠲
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mn>2</mn><mo stretchy="false">(</mo><mn>1.25</mn><msup><mo stretchy="false">)</mo><mi>t</mi></msup></mrow></math> | ⠋⠐⠣⠞⠐⠜⠀⠐⠶⠀⠼⠃⠐⠣⠼⠁⠲⠃⠑⠐⠜⠔⠞ | ⠰⠋⠷⠰⠞⠾⠀⠨⠅⠀⠼⠆⠷⠼⠂⠲⠆⠢⠾⠘⠰⠞
✗ | <math><mrow><mi>h</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | ⠓⠐⠣⠭⠐⠜⠀⠐⠶ | ⠰⠓⠷⠰⠭⠾⠀⠨⠅
✗ | <math><mrow><mo stretchy="false">[</mo><mn>3</mn><mo>,</mo><mn>5</mn><mo stretchy="false">]</mo><mtext>,</mtext></mrow></math> | ⠨⠣⠼⠉⠂⠀⠼⠑⠨⠜⠂⠀ | ⠷⠼⠒⠠⠀⠼⠢⠾⠠
✗ | <math><mrow><mi>ln</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><msup><mi>a</mi><mi>n</mi></msup><mo stretchy="false">)</mo><mo>=</mo><mi>n</mi><mi>ln</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>a</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | ⠰⠰⠰⠇⠝⠐⠣⠁⠔⠝⠐⠜⠀⠐⠶⠀⠝⠀⠇⠝⠐⠣⠁⠐⠜⠲⠰⠄ | ⠇⠝⠷⠰⠁⠘⠰⠝⠾⠀⠨⠅⠀⠰⠝⠇⠝⠷⠰⠁⠾⠲
✗ | <math><mrow><mi>x</mi><mo>=</mo><msup><mi>e</mi><mn>100</mn></msup><mtext>,</mtext></mrow></math> | ⠰⠰⠰⠭⠀⠐⠶⠀⠑⠔⠼⠁⠚⠚⠂⠀⠰⠄ | ⠰⠭⠀⠨⠅⠀⠰⠑⠘⠼⠂⠚⠚⠠
✗ | <math><mrow><msup><mi>e</mi><mrow data-mjx-texclass="ORD"><mn>10</mn><mi>k</mi></mrow></msup><mo>=</mo><mfrac><mn>4.298</mn><mn>2.475</mn></mfrac><mtext>.</mtext></mrow></math> | ⠰⠰⠑⠔⠣⠼⠁⠚⠅⠜⠀⠐⠶⠀⠼⠙⠲⠃⠊⠓⠌⠃⠲⠙⠛⠑⠲ | ⠰⠑⠘⠣⠼⠂⠚⠰⠅⠜⠀⠨⠅⠀⠹⠼⠲⠲⠆⠔⠦⠌⠼⠆⠲⠲⠶⠢⠼⠲
✗ | <math><mrow><mfrac><mn>5</mn><mrow><mn>1</mn><mo>+</mo><mn>2</mn><msup><mi>e</mi><mrow data-mjx-texclass="ORD"><mo>−</mo><mn>10</mn><mi>k</mi></mrow></msup></mrow></mfrac><mo>=</mo><mn>4</mn></mrow></math> | ⠰⠷⠼⠑⠨⠌⠼⠁⠐⠖⠼⠃⠰⠑⠔⠣⠐⠤⠼⠁⠚⠅⠜⠾⠀⠐⠶⠀⠼⠙ | ⠹⠼⠢⠌⠼⠂⠬⠆⠰⠑⠘⠣⠤⠼⠂⠚⠰⠅⠜⠼⠀⠨⠅⠀⠼⠲
✗ | <math><mtable><mtr><mtd columnalign="right"><mrow><mo stretchy="false">(</mo><mn>2</mn><mo>+</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mn>1</mn><mo>−</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></mtd><mtd><mo>=</mo></mtd><mtd columnalign="left"><mn>0</mn></mtd></mtr><mtr><mtd columnalign="right"><mi>x</mi></mtd><mtd><mo>=</mo></mtd><mtd columnalign="left"><mrow><mn>−2</mn><mo>,</mo><mn>1</mn></mrow></mtd></mtr></mtable></math> | ⠠⠐⠣⠼⠃⠐⠖⠭⠐⠜⠐⠣⠼⠁⠐⠤⠭⠐⠜⠀⠐⠶⠀⠼⠚⠠⠠⠭⠀⠐⠶⠀⠐⠤⠼⠃⠂⠀⠼⠁⠠ | ⠷⠼⠆⠬⠰⠭⠾⠷⠼⠂⠤⠰⠭⠾⠀⠨⠅⠀⠼⠚⠠⠀⠰⠭⠀⠨⠅⠀⠤⠼⠆⠠⠼⠂
